City,Lat,Long,temp,Humidity,Cloudiness,Wind Speed,Country,Date
mahebourg,-20.4081,57.7,66.25,70,72,18.59,MU,1628118071
hermanus,-34.4187,19.2345,52.81,91,26,5.53,ZA,1628118252
hobart,-42.8794,147.3294,49.12,74,75,3.0,AU,1628118287
qaanaaq,77.484,-69.3632,45.21,69,10,2.93,GL,1628118296
mataura,-46.1927,168.8643,41.49,74,100,4.94,NZ,1628118245
barrow,71.2906,-156.7887,53.62,71,1,13.8,US,1628118256
rikitea,-23.1203,-134.9692,72.5,71,9,17.0,PF,1628118243
kapaa,22.0752,-159.319,80.49,76,75,1.01,US,1628118267
ushuaia,-54.8,-68.3,56.86,38,40,9.22,AR,1628118105
tuktoyaktuk,69.4541,-133.0374,53.56,56,13,10.83,CA,1628118322
jamestown,42.097,-79.2353,75.76,50,1,5.75,US,1628118272
kaspiysk,42.8816,47.6392,83.37,47,59,5.35,RU,1628118397
castro,-24.7911,-50.0119,48.11,93,88,6.62,BR,1628118324
ambilobe,-13.2,49.05,63.79,83,2,4.68,MG,1628118325
georgetown,5.4112,100.3354,80.06,86,20,2.3,MY,1628117898
bredasdorp,-34.5322,20.0403,52.29,96,10,2.17,ZA,1628118275
biltine,14.5333,20.9167,83.05,61,95,7.78,TD,1628118404
fairbanks,64.8378,-147.7164,77.95,47,6,1.01,US,1628118204
veraval,20.9,70.3667,81.07,85,100,18.97,IN,1628118406
bintulu,3.1667,113.0333,77.95,91,100,4.0,MY,1628118408
hirna,9.2167,41.1,61.41,79,57,8.57,ET,1628118410
kampot,10.6167,104.1833,80.65,79,99,13.04,KH,1628118413
tabou,4.423,-7.3528,75.54,86,99,9.17,CI,1628118414
provideniya,64.3833,-173.3,60.91,59,75,20.13,RU,1628118355
oranjemund,-28.55,16.4333,54.01,89,0,4.81,NA,1628118416
brae,60.3964,-1.353,58.91,89,100,8.57,GB,1628118385
new norfolk,-42.7826,147.0587,48.16,72,100,3.0,AU,1628118268
vanimo,-2.6741,141.3028,81.5,76,25,4.32,PG,1628118358
hofn,64.2539,-15.2082,52.65,91,100,1.05,IS,1628118287
port alfred,-33.5906,26.891,63.7,86,89,9.15,ZA,1628118241
bluff,-46.6,168.3333,41.81,72,100,6.6,NZ,1628118252
ola,59.5833,151.2833,54.23,47,31,12.3,RU,1628118427
butaritari,3.0707,172.7902,82.6,66,68,9.17,KI,1628118283
paamiut,61.994,-49.6678,46.27,86,99,3.0,GL,1628118429
sturgeon bay,44.8342,-87.377,79.43,61,1,10.36,US,1628118431
taoudenni,22.6783,-3.9836,104.92,8,5,10.92,ML,1628118348
pierre,44.3683,-100.351,81.36,47,100,8.01,US,1628118148
mar del plata,-38.0023,-57.5575,52.99,1,0,8.99,AR,1628118244
harper,4.375,-7.7169,76.37,84,99,10.67,LR,1628118435
katsuura,35.1333,140.3,83.19,77,14,7.31,JP,1628118243
kangaatsiaq,68.3065,-53.4641,43.74,89,20,8.59,GL,1628118439
seymchan,62.8833,152.4333,41.04,81,100,11.18,RU,1628118440
termiz,37.2242,67.2783,81.68,21,0,7.25,UZ,1628118443
clyde river,70.4692,-68.5914,35.76,94,100,9.1,CA,1628118289
lebu,-37.6167,-73.65,52.63,87,88,16.37,CL,1628118260
hilo,19.7297,-155.09,78.44,78,75,14.97,US,1628118247
aljezur,37.3191,-8.8033,64.99,94,63,10.87,PT,1628118447
fortuna,40.5982,-124.1573,65.23,74,40,5.01,US,1628118272
newport,51.5877,-2.9984,59.23,81,74,3.47,GB,1628118450
punta arenas,-53.15,-70.9167,51.12,62,100,11.63,CL,1628118247
kruisfontein,-34.0033,24.7314,56.88,96,100,6.08,ZA,1628118282
aklavik,68.2191,-135.0107,68.16,33,1,11.12,CA,1628118336
busselton,-33.65,115.3333,47.05,86,1,6.02,AU,1628118260
puerto ayora,-0.7393,-90.3518,72.55,82,16,7.0,EC,1628118247
dikson,73.5069,80.5464,45.03,90,10,3.94,RU,1628118298
saint-philippe,-21.3585,55.7679,63.99,80,96,15.57,RE,1628118314
saint-pierre,-21.3393,55.4781,64.08,72,40,12.66,RE,1628118288
kemijarvi,66.7131,27.4306,48.92,73,100,3.22,FI,1628118301
souillac,-20.5167,57.5167,66.36,71,90,17.67,MU,1628118348
rockland,41.1668,-74.0496,71.2,74,100,5.01,US,1628118465
vaini,-21.2,-175.2,71.76,73,75,4.61,TO,1628118242
khatanga,71.9667,102.5,66.4,44,81,11.88,RU,1628118256
iqaluit,63.7506,-68.5145,40.66,91,99,5.84,CA,1628118016
port elizabeth,-33.918,25.5701,59.09,90,99,5.23,ZA,1628118082
tabuk,17.4189,121.4443,79.75,78,98,2.21,PH,1628118470
cape town,-33.9258,18.4232,57.06,92,22,3.0,ZA,1628118254
saskylakh,71.9167,114.0833,56.23,42,94,10.27,RU,1628118318
lewiston,44.1003,-70.2148,69.64,77,1,6.91,US,1628118466
